mass,spec5,spec10
5.090496063232422,0,0
5.092080593109131,0,0
5.093665599822998,0,0
5.095250129699707,0,0
5.096835613250732,0,0
5.098421096801758,0,0
5.100006580352783,0,0
5.101592540740967,0.04443000257015228,0
5.103178977966309,2.6263070106506348,0
5.10476541519165,2.868203639984131,0
5.106351852416992,0.9132834076881409,0
5.10793924331665,0.12341667711734772,0
5.10952615737915,0,0
5.111113548278809,0,0
5.112701416015625,0,0
5.114289283752441,0,0
5.115877628326416,0,0
5.117465972900391,0,0
5.119054317474365,0,0
5.120643615722656,0,0
5.122232437133789,0,0
5.123822212219238,0,0
5.125411510467529,0,0
5.127001762390137,0,0
5.128591537475586,0,0
5.130182266235352,0,0
5.131772994995117,0,0
5.133363723754883,0,0
5.134954929351807,0,0
5.1365461349487305,0,0
5.1381378173828125,0,0
5.1397294998168945,0,0
5.141321659088135,0,0
5.142914295196533,0,0
5.144506931304932,0,0
5.14609956741333,0,0
5.147692680358887,0,0
5.149286270141602,0,0
5.150879859924316,0,0
5.152473449707031,0,0
5.154067516326904,0,0
5.1556620597839355,0,0
5.157256603240967,0,0
5.158851623535156,0,0
5.160446643829346,0,0
5.162042140960693,0,0
5.163637638092041,0,0
5.165233135223389,0,0
5.166829586029053,0,0
5.168425559997559,0,0
5.170022487640381,0,0
5.171618938446045,0,0
5.173216342926025,0,0
5.174813270568848,0,0
5.176411151885986,0,0
5.178008556365967,0,0
5.179606914520264,0,0
5.1812052726745605,0,0
5.182803630828857,0,0
5.1844024658203125,0,0
5.186001300811768,0,0
5.187600612640381,0,0
5.189200401306152,0,0
5.190800189971924,0,0
5.192399978637695,0,0
5.194000244140625,0,0
5.195600986480713,0,0
5.197201728820801,0,0
5.198802471160889,0,0
5.200403690338135,0,0
5.202005386352539,0,0
5.203607082366943,0,0
5.205208778381348,0,0
5.206811428070068,0,0
5.208413600921631,0,0
5.210016250610352,0,0
5.2116193771362305,0,0
5.213222503662109,0,0
5.2148261070251465,0,0
5.216429710388184,0,0
5.218033790588379,0,0
5.219637870788574,0,0
5.221242427825928,0,0
5.222846984863281,0,0
5.224452018737793,-0.00987333431839943,0
5.226057052612305,0.3505033552646637,0
5.227662563323975,5.099576950073242,0
5.229268550872803,2.4782068729400635,0
